period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4199999999999997
2,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
3,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
5,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,40,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,40,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,50,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
9,70,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,80,150.0,0.0,50.0,1.0,0.0,8.0,0.0,0.4199999999999999
11,90,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,80,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,100,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,70,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,70,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4199999999999997
16,60,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,50,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4199999999999997
19,30,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,10,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4199999999999997
24,0,0.0,0.0,0.36942287098053,50.0,0.0,50.003183408792765,0.0,0.025859600968637098
