period,renewable_energy,energy_demand,E_toH2,E_fromH2,H_storage,H_sell,H_buy,η_toH2,η_fromH2
1,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,30,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,40,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,40,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,50,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,70,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,80,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,90,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,80,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,100,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,70,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,70,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,60,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,50,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,30,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,10,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,150.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
23,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,0.0,0.0,5.009661118787394,50.0,0.0,50.0418273539385,0.0,0.02504830559393697
